# British to US spellings from the English Speller Database: en-wl/wordlist data/scowl-pre.txt at 1e5b7d3.
#
# Copyright 2000-2026 by Kevin Atkinson
#
# Permission to use, copy, modify, distribute, and sell any part of the English
# Speller Database (ESDB, previously known as SCOWLv2), or word lists
# created from it, is hereby granted without fee, provided that the above
# copyright notice appears in all copies and that both the above copyright
# notice and this notice appear in supporting documentation.  Kevin Atkinson
# makes no representations about the suitability of this database for any
# purpose.  It is provided "as is" without express or implied warranty.
-bicolour	-bicolor
derecognised	derecognized
derecognises	derecognizes
derecognising	derecognizing
dereligionise	dereligionize
dereligionised	dereligionized
dereligionises	dereligionizes
dereligionising	dereligionizing
desacralisation	desacralization
desacralisations	desacralizations
desacralise	desacralize
desacralised	desacralized
desacralises	desacralizes
desacralising	desacralizing
desalinisation	desalinization
desalinisations	desalinizations
desalinise	desalinize
desalinised	desalinized
desalinises	desalinizes
desalinising	desalinizing
descendent	descendant
desensitisation	desensitization
desensitisations	desensitizations
desensitise	desensitize
desensitised	desensitized
desensitiser	desensitizer
desensitisers	desensitizers
desensitises	desensitizes
desensitising	desensitizing
desertisation	desertization
desertisations	desertizations
desexualisation	desexualization
desexualisations	desexualizations
desexualise	desexualize
desexualised	desexualized
desexualises	desexualizes
desexualising	desexualizing
desilverisation	desilverization
desilverise	desilverize
desilverised	desilverized
desilverises	desilverizes
desilverising	desilverizing
despiritualise	despiritualize
destabilisation	destabilization
destabilise	destabilize
destabilised	destabilized
destabiliser	destabilizer
destabilisers	destabilizers
destabilises	destabilizes
destabilising	destabilizing
desterilise	desterilize
desulfuriser	desulfurizer
desulphurisation	desulfurization
desulphurisations	desulfurizations
desulphurise	desulfurize
desulphurised	desulfurized
desulphuriser	desulphurizer
desulphurisers	desulphurizers
desulphurises	desulfurizes
desulphurising	desulfurizing
detribalisation	detribalization
detribalisations	detribalizations
detribalise	detribalize
detribalised	detribalized
detribalises	detribalizes
detribalising	detribalizing
devalorisation	devalorization
devalorisations	devalorizations
devalorise	devalorize
devalorised	devalorized
devalorises	devalorizes
devalorising	devalorizing
develled	develed
develling	develing
devilled	deviled
devilling	deviling
devitalisation	devitalization
devitalisations	devitalizations
devitalise	devitalize
devitalised	devitalized
devitalises	devitalizes
devitalising	devitalizing
devocalisation	devocalization
devocalise	devocalize
devocalised	devocalized
devocalises	devocalizes
devocalising	devocalizing
devolatilisation	devolatilization
devolatilisations	devolatilizations
devolatilise	devolatilize
devolatilised	devolatilized
devolatilises	devolatilizes
devolatilising	devolatilizing
diabolise	diabolize
diabolised	diabolized
diabolises	diabolizes
diabolising	diabolizing
diaene	diene
diaeretic	dieretic
diagonalisable	diagonalizable
diagonalisation	diagonalization
diagonalise	diagonalize
diagonalised	diagonalized
diagonalises	diagonalizes
diagonalising	diagonalizing
dialled	dialed
dialler	dialer
diallers	dialers
dialling	dialing
diallings	dialings
diallist	dialist
diallists	dialists
dialogise	dialogize
dialogised	dialogized
dialogises	dialogizes
dialogising	dialogizing
dialysabilities	dialyzabilities
dialysability	dialyzability
dialysable	dialyzable
dialysate	dialyzate
dialysates	dialyzates
dialysation	dialyzation
dialyse	dialyze
dialysed	dialyzed
dialyser	dialyzer
dialysers	dialyzers
dialysing	dialyzing
diarise	diarize
diarised	diarized
diarises	diarizes
diarising	diarizing
diarrhoea	diarrhea
diarrhoeal	diarrheal
diarrhoeas	diarrheas
diarrhoeic	diarrheic
diarrhoetic	diarrhetic
dichotomisation	dichotomization
dichotomisations	dichotomizations
dichotomise	dichotomize
dichotomised	dichotomized
dichotomises	dichotomizes
dichotomising	dichotomizing
dieselisation	dieselization
dieselisations	dieselizations
dieselise	dieselize
dieselised	dieselized
dieselises	dieselizes
dieselising	dieselizing
diethylstilboestrol	diethylstilbestrol
digitalisation	digitalization
digitalisations	digitalizations
digitalise	digitalize
digitalised	digitalized
digitalising	digitalizing
digitisation	digitization
digitisations	digitizations
digitise	digitize
digitised	digitized
digitiser	digitizer
digitisers	digitizers
digitises	digitizes
digitising	digitizing
dimerisation	dimerization
dimerisations	dimerizations
dimerise	dimerize
dimerised	dimerized
dimerises	dimerizes
dimerising	dimerizing
dioestrous	diestrous
dioestrum	diestrum
dioestrus	diestrus
dioestruses	diestruses
dioptre	diopter
dioptres	diopters
diphthongisation	diphthongization
diphthongisations	diphthongizations
diphthongise	diphthongize
diphthongised	diphthongized
diphthongises	diphthongizes
diphthongising	diphthongizing
diploae	diple
diplomatise	diplomatize
diplomatised	diplomatized
diplomatises	diplomatizes
diplomatising	diplomatizing
disauthorise	disauthorize
disauthorised	disauthorized
disauthorises	disauthorizes
disauthorising	disauthorizing
disbowelled	disboweled
disbowelling	disboweling
discolour	discolor
discoloured	discolored
discolouring	discoloring
discolourment	discolorment
discolourments	discolorments
discolours	discolors
disembowelled	disemboweled
disembowelling	disemboweling
disfavour	disfavor
disfavoured	disfavored
disfavourer	disfavorer
disfavourers	disfavorers
disfavouring	disfavoring
disfavours	disfavors
disharmonise	disharmonize
disharmonised	disharmonized
disharmonises	disharmonizes
disharmonising	disharmonizing
dishevelled	disheveled
dishevelling	disheveling
dishonour	dishonor
dishonourable	dishonorable
dishonourableness	dishonorableness
dishonourablenesses	dishonorablenesses
dishonourably	dishonorably
dishonourary	dishonorary
dishonoured	dishonored
dishonourer	dishonorer
dishonourers	dishonorers
dishonouring	dishonoring
dishonours	dishonors
dishumour	dishumor
dishumours	dishumors
disillusionise	disillusionize
disillusionised	disillusionized
disillusionises	disillusionizes
disillusionising	disillusionizing
disindividualise	disindividualize
disindividualised	disindividualized
disindividualises	disindividualizes
disindividualising	disindividualizing
disindustrialisation	disindustrialization
disindustrialise	disindustrialize
disindustrialised	disindustrialized
disindustrialises	disindustrializes
disindustrialising	disindustrializing
disnaturalise	disnaturalize
disnaturalised	disnaturalized
disnaturalises	disnaturalizes
disnaturalising	disnaturalizing
disorganisation	disorganization
disorganisations	disorganizations
disorganise	disorganize
disorganised	disorganized
disorganiser	disorganizer
disorganisers	disorganizers
disorganises	disorganizes
disorganising	disorganizing
dispauperise	dispauperize
dispauperised	dispauperized
dispauperises	dispauperizes
dispauperising	dispauperizing
disseise	disseize
disseised	disseized
disseisee	disseizee
disseises	disseizes
disseisin	disseizin
disseising	disseizing
disseisins	disseizins
disseisor	disseizor
disseisors	disseizors
dissocialise	dissocialize
dissocialised	dissocialized
dissocialises	dissocializes
dissocialising	dissocializing
distil	distill
distils	distills
divinise	divinize
divinised	divinized
divinises	divinizes
divinising	divinizing
divisionalisation	divisionalization
docetae	docete
dockisation	dockization
dockise	dockize
dockised	dockized
dockises	dockizes
dockising	dockizing
documentarisation	documentarization
documentarise	documentarize
documentarised	documentarized
documentarises	documentarizes
documentarising	documentarizing
dodonaean	dodonean
dogmatisation	dogmatization
dogmatisations	dogmatizations
dogmatise	dogmatize
dogmatised	dogmatized
dogmatiser	dogmatizer
dogmatisers	dogmatizers
dogmatises	dogmatizes
dogmatising	dogmatizing
dognapped	dognaped
dognapping	dognaping
dollarisation	dollarization
dollarisations	dollarizations
dolomitisation	dolomitization
dolomitisations	dolomitizations
dolomitise	dolomitize
dolomitised	dolomitized
dolomitises	dolomitizes
dolomitising	dolomitizing
dolour	dolor
dolours	dolors
domesticise	domesticize
domesticised	domesticized
domesticises	domesticizes
domesticising	domesticizing
dominae	domine
dorise	dorize
dorised	dorized
dorises	dorizes
dorising	dorizing
doura	dora
dowelled	doweled
dowelling	doweling
downdraught	downdraft
dracaena	dracena
dracaenas	dracenas
dragonise	dragonize
dragonised	dragonized
dragonises	dragonizes
dragonising	dragonizing
dramatisable	dramatizable
dramatisation	dramatization
dramatisations	dramatizations
dramatise	dramatize
dramatised	dramatized
dramatiser	dramatizer
dramatisers	dramatizers
dramatises	dramatizes
dramatising	dramatizing
draught	draft
draughtier	draftier
draughtiest	draftiest
draughtily	draftily
draughtiness	draftiness
draughtinesses	draftinesses
draughts	drafts
draughtsman	draftsman
draughtsmanship	draftsmanship
draughtsmanships	draftsmanships
draughtsmen	draftsmen
draughtsperson	draftsperson
draughtswoman	draftswoman
draughtswomen	draftswomen
draughty	drafty
drek	derk
drily	dryly
drivelled	driveled
driveller	driveler
drivellers	drivelers
drivelling	driveling
dualise	dualize
dualises	dualizes
duelled	dueled
dueller	dueler
duellers	duelers
duelling	dueling
duellist	duelist
duellists	duelists
dure	duer
dyked	diked
dyking	diking
dynamise	dynamize
dynamised	dynamized
dynamises	dynamizes
dynamising	dynamizing
dysaesthesia	dysesthesia
dysaesthetic	dysesthetic
dysmenorrhoea	dysmenorrhea
dysmenorrhoeal	dysmenorrheal
dysmenorrhoeas	dysmenorrheas
dysmenorrhoeic	dysmenorrheic
dyspnoea	dyspnea
dyspnoeal	dyspneal
dyspnoeas	dyspneas
dyspnoeic	dyspneic
earlierise	earlierize
earlierised	earlierized
earlierises	earlierizes
earlierising	earlierizing
easternise	easternize
ebionise	ebionize
ebionised	ebionized
ebionises	ebionizes
ebionising	ebionizing
ebonise	ebonize
ebonised	ebonized
ebonises	ebonizes
ebonising	ebonizing
echoise	echoize
echoised	echoized
echoises	echoizes
echoising	echoizing
economisation	economization
economise	economize
economised	economized
economiser	economizer
economisers	economizers
economises	economizes
economising	economizing
ecstasise	ecstasize
ecstasised	ecstasized
ecstasises	ecstasizes
ecstasising	ecstasizing
editorialisation	editorialization
editorialisations	editorializations
editorialise	editorialize
editorialised	editorialized
editorialiser	editorializer
editorialises	editorializes
editorialising	editorializing
effeminise	effeminize
effeminised	effeminized
effeminises	effeminizes
effeminising	effeminizing
egotise	egotize
egotised	egotized
egotises	egotizes
egotising	egotizing
elaeolite	eleolite
elaeoptene	eleoptene
elasticise	elasticize
elasticised	elasticized
elasticises	elasticizes
elasticising	elasticizing
electrisation	electrization
electrise	electrize
electrised	electrized
electrises	electrizes
electrising	electrizing
electrodialyse	electrodialyze
electrodialyses	electrodialyzes
electrolyse	electrolyze
electrolysed	electrolyzed
electrolysing	electrolyzing
elegise	elegize
elegised	elegized
elegises	elegizes
elegising	elegizing
elisabethville	elizabethville
emblematise	emblematize
emblematised	emblematized
emblematises	emblematizes
emblematising	emblematizing
emblemise	emblemize
emblemised	emblemized
emblemises	emblemizes
emblemising	emblemizing
embolisation	embolization
embowelled	emboweled
embowelling	emboweling
emotionalisation	emotionalization
emotionalise	emotionalize
emotionalised	emotionalized
emotionalises	emotionalizes
emotionalising	emotionalizing
empaestic	empestic
empathise	empathize
empathised	empathized
empathises	empathizes
empathising	empathizing
emperise	emperize
emperised	emperized
emperises	emperizes
emperising	emperizing
emphasise	emphasize
emphasised	emphasized
emphasises	emphasizes
emphasising	emphasizing
empyreumatise	empyreumatize
empyreumatised	empyreumatized
empyreumatises	empyreumatizes
empyreumatising	empyreumatizing
emulsionise	emulsionize
emulsionised	emulsionized
emulsionises	emulsionizes
emulsionising	emulsionizing
enamelled	enameled
enameller	enameler
enamellers	enamelers
enamelling	enameling
enamellings	enamelings
enamellist	enamelist
enamellists	enamelists
enamour	enamor
enamoured	enamored
enamoureds	enamoreds
enamouring	enamoring
enamours	enamors
encarnalise	encarnalize
encarnalised	encarnalized
encarnalises	encarnalizes
encarnalising	encarnalizing
encephalocoele	encephalocele
encolour	encolor
encoloured	encolored
encolouring	encoloring
encolours	encolors
endamoeba	endameba
endamoebae	endamebae
endamoebas	endamebas
endeavour	endeavor
endeavoured	endeavored
endeavourer	endeavorer
endeavourers	endeavorers
endeavouring	endeavoring
endeavours	endeavors
energisation	energization
energise	energize
energised	energized
energiser	energizer
energisers	energizers
energises	energizes
energising	energizing
enhypostatise	enhypostatize
enhypostatised	enhypostatized
enhypostatises	enhypostatizes
enhypostatising	enhypostatizing
enigmatise	enigmatize
enigmatised	enigmatized
enigmatises	enigmatizes
enigmatising	enigmatizing
enquire	inquire
enquired	inquired
enquires	inquires
enquiries	inquiries
enquiring	inquiring
enquiry	inquiry
enrol	enroll
enrolment	enrollment
enrolments	enrollments
enrols	enrolls
ensepulchre	ensepulcher
ensepulchred	ensepulcherred
ensepulchres	ensepulchers
ensepulchring	ensepulcherring
entamoeba	entameba
entamoebae	entamebae
entamoebas	entamebas
entendre	entender
enterocoele	enterocele
enterocoeles	enteroceles
enthral	enthrall
enthralment	enthrallment
enthralments	enthrallments
enthrals	enthralls
enthronisation	enthronization
enthronisations	enthronizations
enthronise	enthronize
enthronised	enthronized
enthronises	enthronizes
enthronising	enthronizing
entomologise	entomologize
entomologised	entomologized
entomologises	entomologizes
entomologising	entomologizing
envenomisation	envenomization
epaenetic	epenetic
epaulette	epaulet
epaulettes	epaulets
epicentre	epicenter
epicentres	epicenters
epicurise	epicurize
epicurised	epicurized
epicurises	epicurizes
epicurising	epicurizing
epidotisation	epidotization
epidotised	epidotized
epigaeal	epigeal
epigaean	epigean
epigaeous	epigeous
epigrammatise	epigrammatize
epigrammatised	epigrammatized
epigrammatiser	epigrammatizer
epigrammatises	epigrammatizes
epigrammatising	epigrammatizing
epilogise	epilogize
epilogised	epilogized
epilogises	epilogizes
epilogising	epilogizing
epiloguise	epiloguize
epiloguised	epiloguized
epiloguises	epiloguizes
epiloguising	epiloguizing
episcopise	episcopize
episcopised	episcopized
episcopises	episcopizes
episcopising	episcopizing
epistolise	epistolize
epistolised	epistolized
epistolises	epistolizes
epistolising	epistolizing
epitomisation	epitomization
epitomisations	epitomizations
epitomise	epitomize
epitomised	epitomized
epitomiser	epitomizer
epitomisers	epitomizers
epitomises	epitomizes
epitomising	epitomizing
equalisation	equalization
equalisations	equalizations
equalise	equalize
equalised	equalized
equaliser	equalizer
equalisers	equalizers
equalises	equalizes
equalising	equalizing
equalled	equaled
equalling	equaling
ergotise	ergotize
ergotised	ergotized
ergotises	ergotizes
ergotising	ergotizing
eroticisation	eroticization
eroticise	eroticize
eroticised	eroticized
eroticises	eroticizes
eroticising	eroticizing
erythraemia	erythremia
essentialise	essentialize
eternalisation	eternalization
eternalise	eternalize
eternalised	eternalized
eternalises	eternalizes
eternalising	eternalizing
eternisation	eternization
eternisations	eternizations
eternise	eternize
eternised	eternized
eternises	eternizes
eternising	eternizing
etherealisation	etherealization
etherealisations	etherealizations
etherealise	etherealize
etherealised	etherealized
etherealises	etherealizes
etherealising	etherealizing
etherisation	etherization
etherisations	etherizations
etherise	etherize
etherised	etherized
etheriser	etherizer
etherisers	etherizers
etherises	etherizes
etherising	etherizing
ethicise	ethicize
ethicised	ethicized
ethicises	ethicizes
ethicising	ethicizing
etymologise	etymologize
etymologised	etymologized
etymologises	etymologizes
etymologising	etymologizing
eudaemon	eudemon
eudaemonia	eudemonia
eudaemonics	eudemonics
eudaemonism	eudemonism
eudaemonisms	eudemonisms
eudaemonist	eudemonist
eudaemonistic	eudemonistic
eudaemonists	eudemonists
eudaemons	eudemons
eudaemony	eudemony
euhemerise	euhemerize
euhemerised	euhemerized
euhemerises	euhemerizes
euhemerising	euhemerizing
eulogise	eulogize
eulogised	eulogized
eulogiser	eulogizer
eulogisers	eulogizers
eulogises	eulogizes
eulogising	eulogizing
eunuchise	eunuchize
eunuchised	eunuchized
eunuchises	eunuchizes
eunuchising	eunuchizing
euphemise	euphemize
euphemised	euphemized
euphemiser	euphemizer
euphemisers	euphemizers
euphemises	euphemizes
euphemising	euphemizing
euphonise	euphonize
euphonised	euphonized
euphonises	euphonizes
euphonising	euphonizing
euphuise	euphuize
euphuised	euphuized
euphuises	euphuizes
euphuising	euphuizing
eupnoea	eupnea
eupnoeas	eupneas
eupnoeic	eupneic
europeanisation	europeanization
europeanisations	europeanizations
europeanise	europeanize
europeanised	europeanized
europeanises	europeanizes
europeanising	europeanizing
euryalae	euryale
evangelisation	evangelization
evangelisations	evangelizations
evangelise	evangelize
evangelised	evangelized
evangeliser	evangelizer
evangelisers	evangelizers
evangelises	evangelizes
evangelising	evangelizing
eventualise	eventualize
eventualised	eventualized
eventualises	eventualizes
eventualising	eventualizing
eviller	eviler
evillest	evilest
excursionise	excursionize
excursionised	excursionized
excursionises	excursionizes
excursionising	excursionizing
exorciser	exorcizer
exorcisers	exorcizers
experimentalise	experimentalize
experimentalised	experimentalized
experimentalises	experimentalizes
experimentalising	experimentalizing
exsiccatae	exsiccate
extemporisation	extemporization
extemporisations	extemporizations
extemporise	extemporize
extemporised	extemporized
extemporiser	extemporizer
extemporisers	extemporizers
extemporises	extemporizes
extemporising	extemporizing
exteriorisation	exteriorization
exteriorisations	exteriorizations
exteriorise	exteriorize
exteriorised	exteriorized
exteriorises	exteriorizes
exteriorising	exteriorizing
externalisation	externalization
externalisations	externalizations
externalise	externalize
externalised	externalized
externalises	externalizes
externalising	externalizing
fabulise	fabulize
fabulised	fabulized
fabulises	fabulizes
fabulising	fabulizing
factorisation	factorization
factorisations	factorizations
factorise	factorize
factorised	factorized
factorises	factorizes
factorising	factorizing
fae	fe
faecal	fecal
faeces	feces
faecula	fecula
faeculence	feculence
faggoted	fagoted
faitour	faitor
faitours	faitors
familiarisation	familiarization
familiarisations	familiarizations
familiarise	familiarize
familiarised	familiarized
familiariser	familiarizer
familiarisers	familiarizers
familiarises	familiarizes
familiarising	familiarizing
fanaticise	fanaticize
fanaticised	fanaticized
fanaticises	fanaticizes
fanaticising	fanaticizing
fantasise	fantasize
fantasised	fantasized
fantasiser	fantasizer
fantasises	fantasizes
fantasising	fantasizing
faradisation	faradization
faradisations	faradizations
faradise	faradize
faradised	faradized
faradiser	faradizer
faradisers	faradizers
faradises	faradizes
faradising	faradizing
fasciolae	fasciole
favour	favor
favourable	favorable
favourableness	favorableness
favourablenesses	favorablenesses
favourably	favorably
favoured	favored
favouredness	favoredness
favourednesses	favorednesses
favourer	favorer
favourers	favorers
favouring	favoring
favourite	favorite
favourites	favorites
favouritism	favoritism
favouritisms	favoritisms
favourless	favorless
favours	favors
fayre	fayer
federalisation	federalization
federalisations	federalizations
federalise	federalize
federalised	federalized
federalises	federalizes
federalising	federalizing
feminisation	feminization
feminisations	feminizations
feminise	feminize
feminised	feminized
feminises	feminizes
feminising	feminizing
feralised	feralized
fere	feer
feres	feers
feriae	ferie
ferrelled	ferreled
ferrelling	ferreling
fertilisable	fertilizable
fertilisation	fertilization
fertilisational	fertilizational
fertilisations	fertilizations
fertilise	fertilize
fertilised	fertilized
fertiliser	fertilizer
fertilisers	fertilizers
fertilises	fertilizes
fertilising	fertilizing
fervour	fervor
fervours	fervors
fetichise	fetichize
fetichised	fetichized
fetichises	fetichizes
fetichising	fetichizing
fetishise	fetishize
fetishised	fetishized
fetishises	fetishizes
fetishising	fetishizing
feudalisation	feudalization
feudalisations	feudalizations
feudalise	feudalize
feudalised	feudalized
feudalises	feudalizes
feudalising	feudalizing
fibre	fiber
fibreboard	fiberboard
fibreboards	fiberboards
fibred	fibered
fibrefill	fiberfill
fibrefills	fiberfills
fibreglass	fiberglass
fibreglasses	fiberglasses
fibreless	fiberless
fibres	fibers
fibrescope	fiberscope
fibrescopes	fiberscopes
fibrisation	fiberization
fibrise	fiberize
fibrised	fiberized
fibrises	fiberizes
fibrising	fiberizing
fictionalisation	fictionalization
fictionalisations	fictionalizations
fictionalise	fictionalize
fictionalised	fictionalized
fictionalises	fictionalizes
fictionalising	fictionalizing
fictionisation	fictionization
fictionisations	fictionizations
fictionise	fictionize
fictionised	fictionized
fictionises	fictionizes
fictionising	fictionizing
finalisation	finalization
finalisations	finalizations
finalise	finalize
finalised	finalized
finalises	finalizes
finalising	finalizing
finlandisation	finlandization
finlandisations	finlandizations
flannelled	flanneled
flannelling	flanneling
flautist	flutist
flautists	flutists
flavour	flavor
flavoured	flavored
flavourer	flavorer
flavourers	flavorers
flavourful	flavorful
flavourfully	flavorfully
flavouring	flavoring
flavourings	flavorings
flavourless	flavorless
flavours	flavors
flavoursome	flavorsome
flavoury	flavory
fluidisation	fluidization
fluidisations	fluidizations
fluidise	fluidize
fluidised	fluidized
fluidiser	fluidizer
fluidisers	fluidizers
fluidises	fluidizes
fluidising	fluidizing
fluoridise	fluoridize
fluoridised	fluoridized
fluoridises	fluoridizes
fluoridising	fluoridizing
flyer	flier
flyers	fliers
focalisation	focalization
focalisations	focalizations
focalise	focalize
focalised	focalized
focalises	focalizes
focalising	focalizing
foedarie	fedarie
foetiparous	fetiparous
foetor	fetor
foetors	fetors
foetoscopies	fetoscopies
foetoscopy	fetoscopy
fogey	fogy
fogeys	fogies
fontanelle	fontanel
fontanelles	fontanels
foregather	forgather
foregathered	forgathered
foregathering	forgathering
foregathers	forgathers
forejudgement	forejudgment
forejudgements	forejudgments
formae	forme
formalisable	formalizable
formalisation	formalization
formalisations	formalizations
formalise	formalize
formalised	formalized
formaliser	formalizer
formalisers	formalizers
formalises	formalizes
formalising	formalizing
formulae	formulas
formularisation	formularization
formularisations	formularizations
formularise	formularize
formularised	formularized
formulariser	formularizer
formularisers	formularizers
formularises	formularizes
formularising	formularizing
formulisation	formulization
formulisations	formulizations
formulise	formulize
formulised	formulized
formuliser	formulizer
formulises	formulizes
formulising	formulizing
fossae	fosse
fossilisable	fossilizable
fossilisation	fossilization
fossilisations	fossilizations
fossilise	fossilize
fossilised	fossilized
fossilises	fossilizes
fossilising	fossilizing
fouldre	foulder
fourb	forb
foutre	fouter
foutres	fouters
foveolae	foveole
fractionalisation	fractionalization
fractionalisations	fractionalizations
fractionalise	fractionalize
fractionalised	fractionalized
fractionalises	fractionalizes
fractionalising	fractionalizing
fractionisation	fractionization
fractionisations	fractionizations
fractionise	fractionize
fractionised	fractionized
fractionises	fractionizes
fractionising	fractionizing
fraena	frena
fraenular	frenular
fraenulum	frenulum
fraenum	frenum
fraenums	frenums
fragmentisation	fragmentization
fragmentise	fragmentize
fragmentised	fragmentized
fragmentiser	fragmentizer
fragmentises	fragmentizes
fragmentising	fragmentizing
framboesia	frambesia
framboesias	frambesias
fraternisation	fraternization
fraternisations	fraternizations
fraternise	fraternize
fraternised	fraternized
fraterniser	fraternizer
fraternisers	fraternizers
fraternises	fraternizes
fraternising	fraternizing
freity	ferity
frise	frize
frises	frizes
frisette	frizette
frisettes	frizettes
frivolled	frivoled
frivoller	frivoler
frivollers	frivolers
frivolling	frivoling
fuelled	fueled
fueller	fueler
fuellers	fuelers
fuelling	fueling
fulfil	fulfill
fulfilment	fulfillment
fulfilments	fulfillments
fulfils	fulfills
fulgour	fulgor
fulgourous	fulgorous
fulgours	fulgors
funnelled	funneled
funnelling	funneling
furculae	furcule
furore	furor
furores	furors
fustianise	fustianize
fustianised	fustianized
fustianises	fustianizes
fustianising	fustianizing
gaed	ged
gaelicise	gaelicize
gaelicised	gaelicized
gaelicises	gaelicizes
gaelicising	gaelicizing
galactorrhoea	galactorrhea
galactorrhoeas	galactorrheas
galactosaemia	galactosemia
galactosaemias	galactosemias
galeae	galee
galliardise	galliardize
gallicisation	gallicization
gallicisations	gallicizations
gallicise	gallicize
gallicised	gallicized
galliciser	gallicizer
gallicises	gallicizes
gallicising	gallicizing
gallise	gallize
gallised	gallized
gallises	gallizes
gallising	gallizing
gallisise	gallisize
gallisised	gallisized
gallisises	gallisizes
gallisising	gallisizing
galvanisation	galvanization
galvanisations	galvanizations
galvanise	galvanize
galvanised	galvanized
galvaniser	galvanizer
galvanisers	galvanizers
galvanises	galvanizes
galvanising	galvanizing
gambolled	gamboled
gambolling	gamboling
gargarise	gargarize
gargarised	gargarized
gargarises	gargarizes
gargarising	gargarizing
gastraea	gastrea
gastraeas	gastreas
gauffre	gauffer
gaufre	gaufer
gaufres	gaufers
gavelled	gaveled
gavelling	gaveling
gelatinisation	gelatinization
gelatinisations	gelatinizations
gelatinise	gelatinize
gelatinised	gelatinized
gelatiniser	gelatinizer
gelatinisers	gelatinizers
gelatinises	gelatinizes
gelatinising	gelatinizing
gemmologies	gemologies
gemmology	gemology
genealogise	genealogize
genealogised	genealogized
genealogises	genealogizes
genealogising	genealogizing
generalisability	generalizability
generalisable	generalizable
generalisation	generalization
generalisations	generalizations
generalise	generalize
generalised	generalized
generaliser	generalizer
generalisers	generalizers
generalises	generalizes
generalising	generalizing
genialise	genialize
genialised	genialized
genialises	genializes
genialising	genializing
genteelise	genteelize
genteelised	genteelized
genteelises	genteelizes
genteelising	genteelizing
gentilise	gentilize
gentilised	gentilized
gentilises	gentilizes
gentilising	gentilizing
geologise	geologize
geologised	geologized
geologises	geologizes
geologising	geologizing
geometrisation	geometrization
geometrisations	geometrizations
geometrise	geometrize
geometrised	geometrized
geometrises	geometrizes
geometrising	geometrizing
germanisation	germanization
germanisations	germanizations
germanise	germanize
germanised	germanized
germaniser	germanizer
germanises	germanizes
germanising	germanizing
gessoed	gessed
gessoes	gesses
gestae	geste
ghebre	gheber
ghebres	ghebers
ghettoisation	ghettoization
ghettoisations	ghettoizations
ghettoise	ghettoize
ghettoised	ghettoized
ghettoises	ghettoizes
ghettoising	ghettoizing
gigametre	gigameter
gigametres	gigameters
gimballed	gimbaled
gimballing	gimbaling
glamorisation	glamorization
glamorisations	glamorizations
glamorise	glamorize
glamorised	glamorized
glamoriser	glamorizer
glamorisers	glamorizers
glamorises	glamorizes
glamorising	glamorizing
glamourless	glamorless
glauconitisation	glauconitization
glebae	glebe
globalisation	globalization
globalisations	globalizations
globalise	globalize
globalised	globalized
globalises	globalizes
globalising	globalizing
globigerinae	globigerine
glutaei	glutei
glutaeus	gluteus
gluttonise	gluttonize
gluttonised	gluttonized
gluttonises	gluttonizes
gluttonising	gluttonizing
glycerine	glycerin
glycerines	glycerins
gnosticise	gnosticize
gnosticised	gnosticized
gnosticises	gnosticizes
gnosticising	gnosticizing
gobbledegook	gobbledygook
gobbledegooks	gobbledygooks
goetz	getz
goetzville	getzville
goey	gey
goitre	goiter
goitres	goiters
goliathise	goliathize
goliathised	goliathized
goliathises	goliathizes
goliathising	goliathizing
gonorrhoea	gonorrhea
gonorrhoeal	gonorrheal
gonorrhoeas	gonorrheas
gonorrhoeic	gonorrheic
gorgonise	gorgonize
gorgonised	gorgonized
gorgonises	gorgonizes
gorgonising	gorgonizing
gormandise	gormandize
gormandised	gormandized
gormandiser	gormandizer
gormandisers	gormandizers
gormandises	gormandizes
gormandising	gormandizing
gormandisings	gormandizings
gospelise	gospelize
gospelised	gospelized
gospelises	gospelizes
gospelising	gospelizing
gospeller	gospeler
gospellers	gospelers
gospellise	gospellize
gospellised	gospellized
gospellises	gospellizes
gospellising	gospellizing
gothicise	gothicize
gothicised	gothicized
gothiciser	gothicizer
gothicisers	gothicizers
gothicises	gothicizes
gothicising	gothicizing
gour	gor
goura	gora
gourmandise	gourmandize
gourmandised	gourmandized
gourmandises	gourmandizes
gourmandising	gourmandizing
gourmandism	gormandism
gourmandisms	gormandisms
governmentalise	governmentalize
governmentalised	governmentalized
governmentalises	governmentalizes
governmentalising	governmentalizing
goyaesque	goyesque
graecise	grecize
graecised	grecized
graecises	grecizes
graecising	grecizing
graecism	grecism
graecisms	grecisms
grammaticise	grammaticize
grammaticised	grammaticized
grammaticises	grammaticizes
grammaticising	grammaticizing
grangerisation	grangerization
grangerisations	grangerizations
grangerise	grangerize
grangerised	grangerized
grangerises	grangerizes
grangerising	grangerizing
granitisation	granitization
granitise	granitize
granitised	granitized
granitises	granitizes
granitising	granitizing
granulitisation	granulitization
graphitisable	graphitizable
graphitisation	graphitization
graphitisations	graphitizations
graphitise	graphitize
graphitised	graphitized
graphitises	graphitizes
graphitising	graphitizing
gravelled	graveled
gravelling	graveling
grecianise	grecianize
grecianises	grecianizes
greenuk	gerenuk
greisenisation	greisenization
greisenise	greisenize
greisenised	greisenized
greisenises	greisenizes
greisenising	greisenizing
grey	gray
greyed	grayed
greyer	grayer
greyest	grayest
greying	graying
greyish	grayish
greyness	grayness
greynesses	graynesses
greys	grays
grise	grize
grises	grizes
grovelled	groveled
groveller	groveler
grovellers	grovelers
